,report_date,deaths,total_cases,demographic_value
0,03/14/2020,0,1,0-17
1,03/18/2020,0,2,0-17
2,03/20/2020,0,4,0-17
3,03/21/2020,0,10,0-17
4,03/22/2020,0,14,0-17
5,03/23/2020,0,22,0-17
6,03/24/2020,0,28,0-17
7,03/25/2020,0,34,0-17
8,03/26/2020,0,47,0-17
9,03/27/2020,0,49,0-17
10,03/28/2020,0,58,0-17
11,03/29/2020,0,67,0-17
12,03/30/2020,0,83,0-17
13,03/31/2020,0,102,0-17
14,04/01/2020,0,114,0-17
15,04/02/2020,0,135,0-17
16,04/03/2020,0,155,0-17
17,04/04/2020,0,174,0-17
18,04/05/2020,0,189,0-17
19,04/06/2020,0,203,0-17
20,04/07/2020,0,222,0-17
21,04/08/2020,0,244,0-17
22,04/09/2020,0,261,0-17
23,04/10/2020,0,280,0-17
24,04/11/2020,0,307,0-17
25,04/12/2020,0,331,0-17
26,04/13/2020,0,352,0-17
27,04/14/2020,0,362,0-17
28,04/15/2020,0,384,0-17
29,04/16/2020,0,420,0-17
30,04/17/2020,0,452,0-17
31,04/18/2020,0,472,0-17
32,04/19/2020,0,487,0-17
33,04/20/2020,0,520,0-17
34,04/21/2020,0,548,0-17
35,04/22/2020,0,572,0-17
36,04/23/2020,0,617,0-17
37,04/24/2020,0,653,0-17
38,04/25/2020,0,684,0-17
39,04/26/2020,0,711,0-17
40,04/27/2020,0,726,0-17
41,04/28/2020,0,734,0-17
42,04/29/2020,0,757,0-17
43,04/30/2020,0,793,0-17
44,05/01/2020,0,822,0-17
45,05/02/2020,0,844,0-17
46,05/03/2020,0,871,0-17
47,05/04/2020,0,895,0-17
48,05/05/2020,0,915,0-17
49,05/06/2020,0,930,0-17
50,05/07/2020,0,950,0-17
51,05/08/2020,0,981,0-17
52,05/09/2020,0,999,0-17
53,05/10/2020,0,1011,0-17
54,05/11/2020,0,1040,0-17
55,05/12/2020,0,1081,0-17
56,05/13/2020,0,1110,0-17
57,05/14/2020,0,1147,0-17
58,05/15/2020,0,1175,0-17
59,05/16/2020,0,1232,0-17
60,05/17/2020,0,1274,0-17
61,05/18/2020,0,1332,0-17
62,05/19/2020,0,1374,0-17
63,05/20/2020,0,1448,0-17
64,05/21/2020,0,1507,0-17
65,05/22/2020,0,1561,0-17
66,05/23/2020,0,1600,0-17
67,05/24/2020,0,1677,0-17
68,05/25/2020,0,1714,0-17
69,05/26/2020,0,1735,0-17
70,05/27/2020,0,1789,0-17
71,05/28/2020,0,1875,0-17
72,05/29/2020,0,1945,0-17
73,05/30/2020,0,2030,0-17
74,05/31/2020,0,2085,0-17
75,06/01/2020,0,2132,0-17
76,06/02/2020,0,2251,0-17
77,06/03/2020,0,2376,0-17
78,06/04/2020,0,2478,0-17
79,06/05/2020,0,2644,0-17
80,06/06/2020,0,2735,0-17
81,06/07/2020,0,2773,0-17
82,03/02/2020,0,1,18-49
83,03/03/2020,0,2,18-49
84,03/11/2020,0,3,18-49
85,03/13/2020,0,13,18-49
86,03/14/2020,0,36,18-49
87,03/15/2020,0,52,18-49
88,03/16/2020,0,60,18-49
89,03/17/2020,0,94,18-49
90,03/18/2020,1,149,18-49
91,03/19/2020,1,189,18-49
92,03/20/2020,1,247,18-49
93,03/21/2020,2,336,18-49
94,03/22/2020,3,485,18-49
95,03/23/2020,3,562,18-49
96,03/24/2020,5,710,18-49
97,03/25/2020,7,950,18-49
98,03/26/2020,8,1231,18-49
99,03/27/2020,12,1531,18-49
100,03/28/2020,16,1878,18-49
101,03/29/2020,19,2335,18-49
102,03/30/2020,23,2768,18-49
103,03/31/2020,25,3219,18-49
104,04/01/2020,30,3723,18-49
105,04/02/2020,33,4330,18-49
106,04/03/2020,36,4922,18-49
107,04/04/2020,42,5496,18-49
108,04/05/2020,42,5838,18-49
109,04/06/2020,42,6395,18-49
110,04/07/2020,44,6884,18-49
111,04/08/2020,46,7348,18-49
112,04/09/2020,47,7840,18-49
113,04/10/2020,49,8323,18-49
114,04/11/2020,52,8791,18-49
115,04/12/2020,56,9189,18-49
116,04/13/2020,61,9661,18-49
117,04/14/2020,64,9904,18-49
118,04/15/2020,67,10301,18-49
119,04/16/2020,70,10871,18-49
120,04/17/2020,71,11398,18-49
121,04/18/2020,74,11706,18-49
122,04/19/2020,77,12043,18-49
123,04/20/2020,80,12361,18-49
124,04/21/2020,82,12717,18-49
125,04/22/2020,84,13034,18-49
126,04/23/2020,84,13580,18-49
127,04/24/2020,88,13953,18-49
128,04/25/2020,90,14374,18-49
129,04/26/2020,90,14613,18-49
130,04/27/2020,91,14891,18-49
131,04/28/2020,92,15026,18-49
132,04/29/2020,92,15230,18-49
133,04/30/2020,92,15706,18-49
134,05/01/2020,93,16007,18-49
135,05/02/2020,93,16287,18-49
136,05/03/2020,93,16660,18-49
137,05/04/2020,93,16893,18-49
138,05/05/2020,94,17187,18-49
139,05/06/2020,94,17474,18-49
140,05/07/2020,94,17622,18-49
141,05/08/2020,96,18043,18-49
142,05/09/2020,96,18372,18-49
143,05/10/2020,97,18548,18-49
144,05/11/2020,97,18874,18-49
145,05/12/2020,98,19272,18-49
146,05/13/2020,99,19646,18-49
147,05/14/2020,101,20023,18-49
148,05/15/2020,103,20212,18-49
149,05/16/2020,103,20763,18-49
150,05/17/2020,103,21116,18-49
151,05/18/2020,103,21432,18-49
152,05/19/2020,103,21689,18-49
153,05/20/2020,105,22260,18-49
154,05/21/2020,105,22613,18-49
155,05/22/2020,107,22979,18-49
156,05/23/2020,108,23270,18-49
157,05/24/2020,108,23865,18-49
158,05/25/2020,108,24143,18-49
159,05/26/2020,108,24381,18-49
160,05/27/2020,109,24700,18-49
161,05/28/2020,109,25410,18-49
162,05/29/2020,109,25805,18-49
163,05/30/2020,109,26266,18-49
164,05/31/2020,109,26672,18-49
165,06/01/2020,110,26983,18-49
166,06/02/2020,110,27674,18-49
167,06/03/2020,111,28355,18-49
168,06/04/2020,111,28917,18-49
169,06/05/2020,112,29642,18-49
170,06/06/2020,112,30478,18-49
171,06/07/2020,112,30639,18-49
172,03/02/2020,0,1,50-64
173,03/03/2020,0,2,50-64
174,03/04/2020,0,4,50-64
175,03/09/2020,0,7,50-64
176,03/11/2020,0,9,50-64
177,03/12/2020,0,13,50-64
178,03/13/2020,0,17,50-64
179,03/14/2020,0,25,50-64
180,03/15/2020,0,32,50-64
181,03/16/2020,1,42,50-64
182,03/17/2020,1,58,50-64
183,03/18/2020,3,86,50-64
184,03/19/2020,4,109,50-64
185,03/20/2020,4,148,50-64
186,03/21/2020,6,207,50-64
187,03/22/2020,7,284,50-64
188,03/23/2020,8,330,50-64
189,03/24/2020,12,413,50-64
190,03/25/2020,16,545,50-64
191,03/26/2020,19,671,50-64
192,03/27/2020,26,865,50-64
193,03/28/2020,37,1054,50-64
194,03/29/2020,46,1295,50-64
195,03/30/2020,55,1521,50-64
196,03/31/2020,63,1780,50-64
197,04/01/2020,71,2072,50-64
198,04/02/2020,78,2424,50-64
199,04/03/2020,85,2780,50-64
200,04/04/2020,92,3106,50-64
201,04/05/2020,98,3320,50-64
202,04/06/2020,104,3654,50-64
203,04/07/2020,112,3934,50-64
204,04/08/2020,120,4226,50-64
205,04/09/2020,130,4509,50-64
206,04/10/2020,134,4827,50-64
207,04/11/2020,141,5147,50-64
208,04/12/2020,146,5351,50-64
209,04/13/2020,153,5615,50-64
210,04/14/2020,160,5793,50-64
211,04/15/2020,165,6042,50-64
212,04/16/2020,176,6349,50-64
213,04/17/2020,179,6629,50-64
214,04/18/2020,186,6849,50-64
215,04/19/2020,192,7019,50-64
216,04/20/2020,196,7222,50-64
217,04/21/2020,203,7451,50-64
218,04/22/2020,209,7615,50-64
219,04/23/2020,217,7948,50-64
220,04/24/2020,222,8127,50-64
221,04/25/2020,227,8309,50-64
222,04/26/2020,233,8426,50-64
223,04/27/2020,238,8628,50-64
224,04/28/2020,238,8710,50-64
225,04/29/2020,243,8832,50-64
226,04/30/2020,249,9092,50-64
227,05/01/2020,251,9256,50-64
228,05/02/2020,253,9389,50-64
229,05/03/2020,255,9569,50-64
230,05/04/2020,259,9693,50-64
231,05/05/2020,260,9831,50-64
232,05/06/2020,262,9984,50-64
233,05/07/2020,264,10053,50-64
234,05/08/2020,267,10227,50-64
235,05/09/2020,269,10388,50-64
236,05/10/2020,270,10485,50-64
237,05/11/2020,274,10618,50-64
238,05/12/2020,280,10818,50-64
239,05/13/2020,285,11013,50-64
240,05/14/2020,285,11181,50-64
241,05/15/2020,286,11304,50-64
242,05/16/2020,287,11597,50-64
243,05/17/2020,289,11741,50-64
244,05/18/2020,291,11852,50-64
245,05/19/2020,294,11933,50-64
246,05/20/2020,297,12184,50-64
247,05/21/2020,301,12368,50-64
248,05/22/2020,301,12521,50-64
249,05/23/2020,303,12641,50-64
250,05/24/2020,306,12839,50-64
251,05/25/2020,308,12929,50-64
252,05/26/2020,310,13053,50-64
253,05/27/2020,311,13186,50-64
254,05/28/2020,312,13445,50-64
255,05/29/2020,313,13606,50-64
256,05/30/2020,315,13800,50-64
257,05/31/2020,316,13943,50-64
258,06/01/2020,316,14073,50-64
259,06/02/2020,317,14318,50-64
260,06/03/2020,318,14577,50-64
261,06/04/2020,318,14792,50-64
262,06/05/2020,318,15013,50-64
263,06/06/2020,318,15334,50-64
264,06/07/2020,318,15389,50-64
265,03/04/2020,0,2,65+
266,03/05/2020,1,3,65+
267,03/07/2020,2,7,65+
268,03/08/2020,2,8,65+
269,03/09/2020,2,10,65+
270,03/10/2020,2,13,65+
271,03/11/2020,2,16,65+
272,03/12/2020,3,19,65+
273,03/13/2020,8,29,65+
274,03/14/2020,10,42,65+
275,03/15/2020,14,52,65+
276,03/16/2020,17,65,65+
277,03/17/2020,21,85,65+
278,03/18/2020,25,108,65+
279,03/19/2020,29,132,65+
280,03/20/2020,40,183,65+
281,03/21/2020,52,246,65+
282,03/22/2020,67,322,65+
283,03/23/2020,82,384,65+
284,03/24/2020,96,447,65+
285,03/25/2020,122,585,65+
286,03/26/2020,145,725,65+
287,03/27/2020,191,918,65+
288,03/28/2020,219,1098,65+
289,03/29/2020,266,1300,65+
290,03/30/2020,305,1521,65+
291,03/31/2020,336,1729,65+
292,04/01/2020,387,1993,65+
293,04/02/2020,439,2311,65+
294,04/03/2020,493,2655,65+
295,04/04/2020,534,2926,65+
296,04/05/2020,568,3139,65+
297,04/06/2020,616,3444,65+
298,04/07/2020,661,3702,65+
299,04/08/2020,718,3996,65+
300,04/09/2020,776,4264,65+
301,04/10/2020,828,4563,65+
302,04/11/2020,871,4839,65+
303,04/12/2020,926,5038,65+
304,04/13/2020,968,5248,65+
305,04/14/2020,1019,5417,65+
306,04/15/2020,1066,5668,65+
307,04/16/2020,1127,5965,65+
308,04/17/2020,1175,6216,65+
309,04/18/2020,1216,6414,65+
310,04/19/2020,1266,6609,65+
311,04/20/2020,1314,6811,65+
312,04/21/2020,1355,7092,65+
313,04/22/2020,1404,7306,65+
314,04/23/2020,1464,7615,65+
315,04/24/2020,1495,7785,65+
316,04/25/2020,1524,7956,65+
317,04/26/2020,1552,8096,65+
318,04/27/2020,1600,8362,65+
319,04/28/2020,1631,8491,65+
320,04/29/2020,1673,8670,65+
321,04/30/2020,1706,8895,65+
322,05/01/2020,1742,9117,65+
323,05/02/2020,1784,9322,65+
324,05/03/2020,1812,9515,65+
325,05/04/2020,1848,9722,65+
326,05/05/2020,1883,9903,65+
327,05/06/2020,1905,10091,65+
328,05/07/2020,1922,10211,65+
329,05/08/2020,1943,10380,65+
330,05/09/2020,1978,10569,65+
331,05/10/2020,1992,10676,65+
332,05/11/2020,2009,10835,65+
333,05/12/2020,2039,11013,65+
334,05/13/2020,2078,11223,65+
335,05/14/2020,2118,11446,65+
336,05/15/2020,2136,11601,65+
337,05/16/2020,2169,11854,65+
338,05/17/2020,2189,11984,65+
339,05/18/2020,2204,12127,65+
340,05/19/2020,2216,12237,65+
341,05/20/2020,2240,12546,65+
342,05/21/2020,2253,12692,65+
343,05/22/2020,2265,12864,65+
344,05/23/2020,2277,12971,65+
345,05/24/2020,2289,13100,65+
346,05/25/2020,2294,13205,65+
347,05/26/2020,2305,13311,65+
348,05/27/2020,2311,13430,65+
349,05/28/2020,2320,13612,65+
350,05/29/2020,2328,13751,65+
351,05/30/2020,2333,13887,65+
352,05/31/2020,2336,14003,65+
353,06/01/2020,2342,14144,65+
354,06/02/2020,2348,14325,65+
355,06/03/2020,2352,14544,65+
356,06/04/2020,2354,14712,65+
357,06/05/2020,2356,14876,65+
358,06/06/2020,2356,15076,65+
359,06/07/2020,2356,15117,65+
